Time,Measure type,Price,Volume,Protein,Butterfat,Unit of Measure
1986-10,Price,0.1697,,,,Pounds per litre
2000-04,Volume,,1177.0,,,Million litres
1994-12,Protein,,,3.21,,Percentage
1997-10,Price,0.2082,,,,Pounds per litre
2002-10,Protein,,,3.41,,Percentage
1998-06,Protein,,,3.31,,Percentage
2013-10,Protein,,,3.32,,Percentage
2012-05,Volume,,1252.0,,,Million litres
2001-05,Volume,,1304.0,,,Million litres
1997-05,Protein,,,3.33,,Percentage
2013-06,Volume,,1177.0,,,Million litres
2002-06,Volume,,1215.0,,,Million litres
1996-04,Protein,,,3.18,,Percentage
2014-07,Volume,,1225.0,,,Million litres
2002-09,Butterfat,,,,3.95,Percentage
2003-07,Volume,,1232.0,,,Million litres
2009-11,Price,0.2487,,,,Pounds per litre
1995-03,Protein,,,3.14,,Percentage
2013-09,Butterfat,,,,4.06,Percentage
2015-08,Volume,,1211.0,,,Million litres
2001-08,Butterfat,,,,3.9,Percentage
2004-08,Volume,,1143.0,,,Million litres
2009-06,Protein,,,3.24,,Percentage
2012-08,Butterfat,,,,4.0,Percentage
2008-10,Price,0.2736,,,,Pounds per litre
2016-09,Volume,,1078.0,,,Million litres
2019-10,Price,0.294,,,,Pounds per litre
2000-07,Butterfat,,,,3.86,Percentage
2005-09,Volume,,1067.0,,,Million litres
2011-07,Butterfat,,,,3.92,Percentage
2008-05,Protein,,,3.26,,Percentage
2019-05,Protein,,,3.36,,Percentage
2010-06,Butterfat,,,,3.76,Percentage
2007-04,Protein,,,3.27,,Percentage
2018-04,Protein,,,3.27,,Percentage
1979-03,Price,0.1112,,,,Pounds per litre
2006-03,Protein,,,3.23,,Percentage
1978-02,Price,0.1025,,,,Pounds per litre
2020-05,Butterfat,,,,3.99,Percentage
2017-03,Protein,,,3.26,,Percentage
1989-02,Price,0.1761,,,,Pounds per litre
2020-02,Volume,,1181.0,,,Million litres
2005-02,Protein,,,3.21,,Percentage
1977-12,Price,0.1045,,,,Pounds per litre
2016-02,Protein,,,3.28,,Percentage
1988-12,Price,0.17809999999999998,,,,Pounds per litre
1977-01,Price,0.1015,,,,Pounds per litre
2004-12,Protein,,,3.29,,Percentage
1999-12,Price,0.17329999999999998,,,,Pounds per litre
1988-01,Price,0.1675,,,,Pounds per litre
1999-01,Price,0.1923,,,,Pounds per litre
1976-11,Price,0.0998,,,,Pounds per litre
2010-03,Volume,,1116.0,,,Million litres
2015-12,Protein,,,3.32,,Percentage
2004-01,Protein,,,3.21,,Percentage
2015-01,Protein,,,3.28,,Percentage
1987-11,Price,0.17059999999999997,,,,Pounds per litre
1998-11,Price,0.196,,,,Pounds per litre
2003-11,Protein,,,3.36,,Percentage
1999-07,Protein,,,3.3,,Percentage
1975-10,Price,0.0861,,,,Pounds per litre
2011-04,Volume,,1191.0,,,Million litres
2014-11,Protein,,,3.33,,Percentage
2007-03,Protein,,,3.25,,Percentage
2018-03,Protein,,,3.32,,Percentage
2020-04,Butterfat,,,,4.11,Percentage
2006-02,Protein,,,3.23,,Percentage
1979-02,Price,0.1125,,,,Pounds per litre
2017-02,Protein,,,3.27,,Percentage
2005-12,Protein,,,3.31,,Percentage
1978-12,Price,0.1124,,,,Pounds per litre
2020-03,Volume,,1307.0,,,Million litres
2016-12,Protein,,,3.36,,Percentage
2005-01,Protein,,,3.24,,Percentage
1989-12,Price,0.18239999999999998,,,,Pounds per litre
1978-01,Price,0.1043,,,,Pounds per litre
1989-01,Price,0.17579999999999998,,,,Pounds per litre
2016-01,Protein,,,3.28,,Percentage
2004-11,Protein,,,3.33,,Percentage
1977-11,Price,0.10779999999999999,,,,Pounds per litre
1988-11,Price,0.18309999999999998,,,,Pounds per litre
2015-11,Protein,,,3.36,,Percentage
1999-11,Price,0.1766,,,,Pounds per litre
2010-04,Volume,,1133.0,,,Million litres
1976-10,Price,0.099,,,,Pounds per litre
2003-10,Protein,,,3.44,,Percentage
1999-06,Protein,,,3.31,,Percentage
1987-10,Price,0.1745,,,,Pounds per litre
